sID,PosX,PosY,PosZ,Area,Intensity_Center_Ch_01,Intensity_Center_Ch_02,Intensity_Max_Ch_01,Intensity_Max_Ch_02,Intensity_Mean_Ch_01,Intensity_Mean_Ch_02,Intensity_Median_Ch_01,Intensity_Median_Ch_02,Intensity_Min_Ch_01,Intensity_Min_Ch_02,Intensity_StdDev_Ch_01,Intensity_StdDev_Ch_02,Intensity_Sum_Ch_01,Intensity_Sum_Ch_02,Sphericity,Volume
604,16.5791,189.971,6.79013,72.3882,269.718,384.975,286,474,275.667,390.538,275.941,386.988,261,339,5.56715,30.6092,10751,15231,8250.68,43.402
605,142.096,220.531,7.17179,257.795,279.081,393.786,321,540,280.388,401.857,276.938,393.422,261,328,12.5917,40.7457,54956,78764,7436.53,249.598
606,338.684,91.8628,2.66258,428.643,369.111,867.759,436,1313,315.437,594.533,308.758,567.102,253,308,43.9281,205.251,134376,253271,8073.27,605.329
607,245.13,119.915,3.84025,180.351,282.326,433.938,295,543,273.606,406.926,273.945,394.48,260,350,6.88539,38.726,25719,38251,6692.61,124.694
608,278.062,157.613,1.41934,37.4231,288.848,378.239,291,431,280.913,378.13,280.938,374.82,268,329,6.61877,24.3066,6461,8697,6982.63,12.5606
609,255.319,160.485,2.54951,387.221,445.332,1189.86,595,1819,330.555,647.363,295.727,498.422,256,303,80.3455,348.15,116686,228519,7955.87,508.444
610,233.016,177.124,1.38976,102.694,271.68,340.187,288,498,276.05,398.35,275.914,393.859,262,343,6.26282,35.9826,16563,23901,5125.39,35.9074
611,309.175,183.91,2.80343,903.205,805.581,542.179,1118,764,509.392,378.772,439.59,339.898,279,247,189.785,104.14,519070,385969,6915.69,1467.94
612,240.4,203.962,3.534,645.048,464.171,1207.29,669,2055,341.043,692.219,296.875,497.719,253,291,98.0117,427.711,248620,504628,7922.61,1086.34
613,226.705,56.7674,3.69805,214.574,279.605,452.755,299,550,274.675,417.388,272.984,404.887,254,347,10.9144,45.5074,43948,66782,8357.82,225.828
614,231.367,105.485,4.54183,377.128,292.39,550.16,342,765,285.867,466.877,283.887,452.449,255,318,17.3787,89.9043,88047,143798,7723.9,467.479
615,282.731,36.2758,7.76518,318.263,1088.33,768.345,1198,863,472.374,373.354,393.801,320.953,283,249,196.971,121.878,140295,110886,8949.09,451.981
616,324.455,36.9918,7.07253,1067.77,1926.68,951.689,2490,1276,654.926,429.023,447.125,337.125,274,240,467.96,210.006,1088490,713037,8322.46,2490.98
617,312.305,48.8142,7.17941,684.821,668.557,437.442,1463,803,496.655,353.796,419.125,324.922,270,239,205.423,91.9776,424640,302496,8493.6,1319.1
618,237.668,65.0364,7.10229,100.304,276.787,442.461,284,498,272.406,415.058,273,405.457,262,349,5.38507,36.7903,18796,28639,9474.22,87.1095
619,233.487,87.389,6.20655,286.828,313.903,616.833,330,716,286.934,451.137,282.797,428.383,254,318,16.4495,89.7189,64847,101957,7968.82,324.936
621,132.452,250.794,2.68447,418.745,522.67,765.919,555,880,352.031,449.848,328.438,405.859,265,285,69.5566,125.694,136940,174991,7558.3,529.462
622,209.141,380.11,2.23664,265.47,321.436,562.139,325,583,288.627,405.196,287,393.664,261,321,12.5641,47.823,60323,84686,6827.63,229.458
623,174.294,387.981,2.44409,138.059,294.576,413.933,318,489,288.402,398.585,286.875,392.719,270,333,11.4126,33.0061,23649,32684,6937.03,88.1316
624,147.242,399.923,4.20635,208.006,289.34,358.694,324,570,290.297,404.601,286.969,394.395,264,327,14.9526,50.2926,40061,55835,7593.01,186.642
625,196.315,223.517,5.79628,641.566,524.993,1465.83,651,2172,332.014,654.042,292.523,482.813,252,300,86.1456,394.655,265943,523888,8395.59,1175.47
626,116.702,243.901,5.09554,159.284,265.391,328.854,288,450,272.522,383.444,271.953,376.594,262,342,5.87145,26.6064,24527,34510,6199.73,92.2767
627,164.285,264.772,5.53235,794.829,1454.43,745.755,1727,894,545.968,365.022,428.141,323.434,275,239,280.139,117.503,578726,386923,8318.87,1598.75
